, 서울,gu,dong,school_name,school_walk_min,time_gangnam,time_yeouido,time_cityhall,complex_name,building_type,year_built,complex_size,households,layout_type,rooms,bathrooms,pyeong,peak_price,current_price,price_jeonse,drop_from_peak_pct,expert_comment,risk_comment,jeonse_ratio,price_gap
297,강북4,강북, 강북구 도봉로 10길 54 (수유동 734),서울수유초,7 ,55 ,52 ,40 ,수유 벽산1차,구축,1993 ,대단지,1454 ,계단식,3 ,2 ,33 ,79000 ,68000 ,43000 ,-14%,,,0.63 ,25000 
299,강북3,강북, 강북구 한천로 105길 23 (번동 201),서울번동초,5 ,58 ,55 ,42 ,번동 주공1,구축,1991 ,대단지,1430 ,복도식,3 ,1 ,30 ,87300 ,68000 ,35000 ,-22%,,,0.51 ,33000 
420,강서4,강서,강서구 금낭화로 190,서울치현초,3 ,58 ,32 ,45 ,방화 방화5단지,구축,1994 ,대단지,1372 ,복도식,3 ,1 ,20 ,80000 ,68000 ,35000 ,-15%,,,0.51 ,33000 
680,구로2,구로,구로구 서해안로 2102,서울항동초,6 ,58 ,43 ,50 ,항동 서울수목원현대홈타운스위트,준신축,2004 ,소단지,245 ,계단식,3 ,2 ,33 ,75000 ,68000 ,40000 ,-9%,,,0.59 ,28000 
682,구로3,구로,구로구 부일로1길 50,서울온수초,5 ,55 ,40 ,45 ,온수 힐스테이트,준신축,2010 ,중단지,999 ,계단식,3 ,2 ,24 ,84500 ,68000 ,45000 ,-20%,,,0.66 ,23000 
686,구로3,구로,구로구 고척로1길 35,서울오류초,6 ,55 ,38 ,45 ,오류 푸르지오,준신축,2004 ,소단지,378 ,계단식,3 ,2 ,24 ,75500 ,68000 ,42000 ,-10%,,,0.62 ,26000 
509,강서3,강서,강서구 강서로56길 44,서울등현초,5 ,45 ,21 ,34 ,등촌 등촌주공3,구축,1995 ,대단지,1016 ,복도식,2 ,1 ,16 ,65000 ,69000 ,30000 ,6%,,,0.43 ,39000 
598,관악4,관악,관악구 난곡로 63,서울난우초,4 ,45 ,35 ,50 ,관악산휴먼시아2,준신축,2008 ,대단지,2265 ,계단식,3 ,2 ,33 ,87000 ,69000 ,44000 ,-21%,,,0.64 ,25000 
812,도봉2,도봉, 도봉구 마들로 684,서울창도초,3 ,60 ,70 ,53 ,방학 대상타운현대,준신축,2001 ,대단지,1278 ,계단식,3 ,2 ,24 ,84700 ,69000 ,42000 ,-19%,,,0.61 ,27000 
1591,성북3,성북, 성북구 동소문로13길 72,서울돈암초,5~10,45 ,35 ,22 ,한신한진,구축,1998 ,대단지,4509 ,복도식,2 ,1 ,25 ,74000 ,69000 ,38000 ,-7%,,,0.55 ,31000 
300,강북3,강북, 강북구 한천로 105길 23 (번동 201),서울번동초,5 ,58 ,55 ,42 ,번동 주공1,구축,1991 ,대단지,1430 ,계단식,3 ,1 ,31 ,82000 ,70000 ,32000 ,-15%,,,0.46 ,38000 
313,강북2,강북,강북구 솔샘로 174,서울삼양초,5 ,52 ,55 ,40 ,미아 SK북한산시티,준신축,2004 ,대단지,3830 ,계단식,3 ,2 ,33 ,87000 ,70000 ,45000 ,-20%,,,0.64 ,25000 
443,강서4,강서,강서구 방화대로47길 11,서울방화초,3 ,54 ,27 ,41 ,방화 개화산동부센트레빌,준신축,2003 ,소단지,205 ,계단식,3 ,2 ,29 ,69000 ,70000 ,42000 ,1%,,,0.60 ,28000 
506,강서3,강서,강서구 강서로56길 100,서울등현초,4 ,46 ,22 ,35 ,등촌 등촌주공8,구축,1994 ,소단지,445 ,복도식,2 ,1 ,17 ,72000 ,70000 ,26000 ,-3%,,,0.37 ,44000 
